entry_time,exit_time,type,entry_price,exit_price,pnl,balance
2023-06-22 09:30:00,2023-06-22 10:30:00,SHORT,1939.9,1940.9099999999999,-0.163727455565921,15723.345730584262
2023-06-22 10:30:00,2023-06-22 11:00:00,LONG,1940.9099999999999,1947.5900000000001,1.0822959279957076,15724.428026512258
2023-06-22 11:00:00,2023-06-22 12:00:00,SHORT,1947.5900000000001,1946.53,0.17116429749696505,15724.599190809755
2023-06-22 12:00:00,2023-06-22 13:00:00,LONG,1946.53,1952.01,0.8853786334208847,15725.484569443175
2023-06-22 13:00:00,2023-06-22 15:30:00,SHORT,1952.01,1932.46,3.149914430075803,15728.634483873251
2023-06-22 15:30:00,2023-06-22 16:30:00,LONG,1932.46,1939.8300000000002,1.1997147278199571,15729.834198601071
2023-06-22 16:30:00,2023-06-22 17:00:00,SHORT,1939.8300000000002,1944.26,-0.7184461061000208,15729.11575249497
2023-06-22 17:00:00,2023-06-22 19:30:00,LONG,1944.26,1950.0,0.9287350911845255,15730.044487586154
2023-06-22 19:30:00,2023-06-22 20:30:00,SHORT,1950.0,1950.4199999999998,-0.06776019163880771,15729.976727394514
2023-06-22 20:30:00,2023-06-22 23:00:00,LONG,1950.4199999999998,1952.76,0.37743814708735,15730.354165541601
2023-06-22 23:00:00,2023-06-23 02:00:00,SHORT,1952.76,1944.19,1.3807035703178119,15731.734869111919
2023-06-23 02:00:00,2023-06-23 02:30:00,LONG,1944.19,1941.3300000000002,-0.4628432583817272,15731.272025853537
2023-06-23 02:30:00,2023-06-23 03:00:00,SHORT,1941.3300000000002,1941.82,-0.07941280763873014,15731.192613045898
2023-06-23 03:00:00,2023-06-23 03:30:00,LONG,1941.82,1941.69,-0.021063281248458732,15731.17154976465
2023-06-23 03:30:00,2023-06-23 04:00:00,SHORT,1941.69,1944.9099999999999,-0.521755505670205,15730.64979425898
2023-06-23 04:00:00,2023-06-23 07:00:00,LONG,1944.9099999999999,1961.0900000000001,2.6173130239560174,15733.267107282936
2023-06-23 07:00:00,2023-06-23 08:00:00,SHORT,1961.0900000000001,1946.8999999999999,2.276846654180576,15735.543953937116
2023-06-23 08:00:00,2023-06-23 10:00:00,LONG,1946.8999999999999,1948.89,0.3216778721900312,15735.865631809307
2023-06-23 10:00:00,2023-06-23 10:30:00,SHORT,1948.89,1944.23,0.7525220391528784,15736.61815384846
2023-06-23 10:30:00,2023-06-23 11:00:00,LONG,1944.23,1948.65,0.7155105336303971,15737.33366438209
2023-06-23 11:00:00,2023-06-23 11:30:00,SHORT,1948.65,1940.83,1.263089310604475,15738.596753692695
2023-06-23 11:30:00,2023-06-23 12:00:00,LONG,1940.83,1951.0800000000002,1.6623879136797526,15740.259141606375
2023-06-23 12:00:00,2023-06-23 12:30:00,SHORT,1951.0800000000002,1949.21,0.30172299029056504,15740.560864596666
2023-06-23 12:30:00,2023-06-23 15:00:00,LONG,1949.21,1966.3,2.7601560137281846,15743.321020610394
2023-06-23 15:00:00,2023-06-23 15:30:00,SHORT,1966.3,1965.5,0.12810513977000051,15743.449125750163
2023-06-23 15:30:00,2023-06-23 16:30:00,LONG,1965.5,1962.23,-0.523847149745131,15742.925278600418
2023-06-23 16:30:00,2023-06-23 18:00:00,SHORT,1962.23,1958.06,0.669116244393011,15743.594394844811
2023-06-23 18:00:00,2023-06-23 20:00:00,LONG,1958.06,1954.81,-0.5226262911580405,15743.071768553653
2023-06-23 20:00:00,2023-06-23 20:30:00,SHORT,1954.81,1946.87,1.2788965663396121,15744.350665119993
2023-06-23 20:30:00,2023-06-23 21:00:00,LONG,1946.87,1948.89,0.3267150692500853,15744.677380189243
2023-06-23 21:00:00,2023-06-23 21:30:00,SHORT,1948.89,1947.53,0.2197431485313114,15744.897123337774
2023-06-23 21:30:00,2023-06-23 22:00:00,LONG,1947.53,1953.21,0.918404498627077,15745.815527836401
2023-06-23 22:00:00,2023-06-26 00:00:00,SHORT,1953.21,1948.99,0.680391166617722,15746.495919003019
2023-06-26 00:00:00,2023-06-26 00:30:00,LONG,1948.99,1948.16,-0.13411655896409277,15746.361802444055
2023-06-26 00:30:00,2023-06-26 01:30:00,SHORT,1948.16,1939.0,1.4807477220596752,15747.842550166115
2023-06-26 01:30:00,2023-06-26 02:00:00,LONG,1939.0,1938.1000000000001,-0.1461893583821285,15747.696360807733
2023-06-26 02:00:00,2023-06-26 06:30:00,SHORT,1938.1000000000001,1900.25,6.150872578882151,15753.847233386616
2023-06-26 06:30:00,2023-06-26 10:00:00,LONG,1900.25,1924.67,4.049035121055675,15757.896268507671
2023-06-26 10:00:00,2023-06-26 10:30:00,SHORT,1924.67,1918.9099999999999,0.9431796880151675,15758.839448195686
2023-06-26 10:30:00,2023-06-26 11:30:00,LONG,1918.9099999999999,1936.13,2.8283475024668565,15761.667795698153
2023-06-26 11:30:00,2023-06-26 17:00:00,SHORT,1936.13,1901.05,5.711592778099545,15767.379388476253
2023-06-26 17:00:00,2023-06-26 18:30:00,LONG,1901.05,1910.76,1.6107020211157517,15768.99009049737
2023-06-26 18:30:00,2023-06-26 19:00:00,SHORT,1910.76,1906.46,0.7097349472370991,15769.699825444606
2023-06-26 19:00:00,2023-06-26 19:30:00,LONG,1906.46,1910.93,0.7394916045417982,15770.439317049148
2023-06-26 19:30:00,2023-06-26 22:30:00,SHORT,1910.93,1893.73,2.838948116919469,15773.278265166067
2023-06-26 22:30:00,2023-06-26 23:30:00,LONG,1893.73,1909.0900000000001,2.558733865471348,15775.836999031539
2023-06-26 23:30:00,2023-06-27 00:30:00,SHORT,1909.0900000000001,1903.84,0.8676714481236523,15776.704670479663
2023-06-27 00:30:00,2023-06-27 02:30:00,LONG,1903.84,1924.05,3.349516780721012,15780.054187260384
2023-06-27 02:30:00,2023-06-27 04:00:00,SHORT,1924.05,1913.68,1.7009865847757435,15781.75517384516
2023-06-27 04:00:00,2023-06-27 04:30:00,LONG,1913.68,1912.69,-0.16328683606566252,15781.591887009095
2023-06-27 04:30:00,2023-06-27 06:00:00,SHORT,1912.69,1900.53,2.0066415085145204,15783.59852851761
2023-06-27 06:00:00,2023-06-27 14:30:00,LONG,1900.53,1945.76,7.512558722512686,15791.111087240122
2023-06-27 14:30:00,2023-06-27 15:30:00,SHORT,1945.76,1939.85,0.9592700695418799,15792.070357309663
2023-06-27 15:30:00,2023-06-27 18:30:00,LONG,1939.85,1947.3300000000002,1.2178744364015792,15793.288231746064
2023-06-27 18:30:00,2023-06-27 19:00:00,SHORT,1947.3300000000002,1937.84,1.5393210736677798,15794.827552819732
2023-06-27 19:00:00,2023-06-27 20:30:00,LONG,1937.84,1935.39,-0.39938619808039333,15794.428166621652
2023-06-27 20:30:00,2023-06-27 21:30:00,SHORT,1935.39,1938.1499999999999,-0.45047893954057855,15793.97768768211
2023-06-27 21:30:00,2023-06-27 22:00:00,LONG,1938.1499999999999,1944.45,1.0267735668797584,15795.004461248991
2023-06-27 22:00:00,2023-06-28 00:30:00,SHORT,1944.45,1934.55,1.6083781446307843,15796.612839393621
2023-06-28 00:30:00,2023-06-28 02:00:00,LONG,1934.55,1937.0800000000002,0.4131754721632321,15797.026014865785
2023-06-28 02:00:00,2023-06-28 02:30:00,SHORT,1937.0800000000002,1930.57,1.061790316938688,15798.087805182724
2023-06-28 02:30:00,2023-06-28 03:30:00,LONG,1930.57,1933.27,0.4418885310969721,15798.529693713821
2023-06-28 03:30:00,2023-06-28 06:30:00,SHORT,1933.27,1918.26,2.453210681411746,15800.982904395232
2023-06-28 06:30:00,2023-06-28 08:30:00,LONG,1918.26,1914.32,-0.6490869083786148,15800.333817486853
2023-06-28 08:30:00,2023-06-28 11:00:00,SHORT,1914.32,1895.19,3.157887771412529,15803.491705258266
2023-06-28 11:00:00,2023-06-28 12:00:00,LONG,1895.19,1895.95,0.1267488082566512,15803.618454066522
2023-06-28 12:00:00,2023-06-28 14:30:00,SHORT,1895.95,1890.4199999999998,0.9219020549169654,15804.540356121439
2023-06-28 14:30:00,2023-06-28 17:30:00,LONG,1890.4199999999998,1912.02,3.611663775163459,15808.152019896603
2023-06-28 17:30:00,2023-06-28 18:30:00,SHORT,1912.02,1905.71,1.0433932620531865,15809.195413158655
2023-06-28 18:30:00,2023-06-28 19:00:00,LONG,1905.71,1903.53,-0.36169245058993105,15808.833720708066
