time,open,high,low,close,tick_volume,spread,real_volume
2016-10-02,1317.16,1319.453,1241.32,1255.954,6,0,0
2016-10-09,1257.379,1264.785,1246.075,1250.476,6,0,0
2016-10-16,1251.249,1274.199,1250.092,1265.909,6,0,0
2016-10-23,1265.952,1283.973,1260.118,1274.656,6,0,0
2016-10-30,1277.969,1307.811,1271.143,1303.78,6,0,0
2016-11-06,1292.768,1337.126,1218.888,1227.492,6,0,0
2016-11-13,1227.984,1232.852,1202.785,1207.958,6,0,0
2016-11-20,1207.419,1220.851,1170.713,1183.811,6,0,0
2016-11-27,1183.589,1197.418,1160.603,1176.504,6,0,0
2016-12-04,1176.164,1187.832,1156.187,1159.06,6,0,0
2016-12-11,1158.439,1165.511,1122.548,1134.153,6,0,0
2016-12-18,1133.819,1142.137,1125.657,1132.497,6,0,0
2016-12-25,1133.199,1162.98,1131.563,1150.787,4,0,0
2017-01-01,1150.029,1184.776,1145.948,1172.189,4,0,0
2017-01-08,1172.949,1206.807,1171.646,1196.785,6,0,0
2017-01-15,1196.709,1218.65,1195.713,1209.318,6,0,0
2017-01-22,1209.389,1219.775,1180.36,1190.228,6,0,0
2017-01-29,1190.079,1225.079,1188.12,1219.586,6,0,0
2017-02-05,1218.23,1244.544,1218.23,1233.013,6,0,0
2017-02-12,1232.629,1243.695,1216.646,1233.95,6,0,0
2017-02-19,1234.49,1260.086,1226.008,1256.607,6,0,0
2017-02-26,1257.67,1263.771,1222.909,1234.245,113,0,0
2017-03-05,1233.045,1236.735,1194.976,1204.032,119,0,0
2017-03-12,1204.385,1233.506,1197.332,1228.7,118,0,0
2017-03-19,1229.045,1253.118,1226.864,1242.324,115,0,0
2017-03-26,1245.45,1260.968,1239.627,1248.434,117,0,0
2017-04-02,1249.381,1270.404,1243.716,1253.894,117,0,0
2017-04-09,1253.95,1288.551,1246.897,1287.183,94,0,0
2017-04-16,1290.281,1295.426,1273.723,1284.454,116,0,0
2017-04-23,1275.735,1278.085,1259.681,1267.334,2131,0,0
2017-04-30,1268.15,1271.08,1225.586,1226.986,6898,0,0
2017-05-07,1234.592,1236.475,1214.228,1227.673,6778,173,0
2017-05-14,1229.691,1264.947,1226.984,1255.172,6777,166,0
2017-05-21,1256.945,1269.423,1247.888,1266.578,6778,160,0
2017-05-28,1268.008,1279.389,1258.986,1278.497,6552,150,0
2017-06-04,1279.761,1295.975,1264.52,1266.313,6780,156,0
2017-06-11,1267.647,1280.408,1251.403,1253.344,6780,150,0
2017-06-18,1254.641,1258.769,1240.876,1256.265,6779,150,0
2017-06-25,1257.289,1257.389,1234.913,1240.66,6780,150,0
2017-07-02,1241.61,1241.99,1207.289,1212.436,6540,156,0
2017-07-09,1213.129,1232.736,1204.698,1228.535,6774,160,0
2017-07-16,1230.737,1255.652,1229.333,1254.783,6780,170,0
2017-07-23,1256.156,1270.793,1243.71,1268.97,6780,150,0
2017-07-30,1270.192,1274.058,1254.153,1258.206,6780,150,0
2017-08-06,1257.325,1291.876,1251.407,1288.449,6779,163,0
2017-08-13,1288.817,1300.739,1267.167,1283.76,6773,150,0
2017-08-20,1283.366,1294.539,1276.587,1290.708,6780,160,0
2017-08-27,1292.44,1328.737,1291.817,1323.917,6780,150,0
2017-09-03,1336.129,1357.412,1325.956,1346.19,6536,150,0
2017-09-10,1337.527,1338.966,1315.328,1319.839,6780,157,0
2017-09-17,1316.163,1319.583,1288.045,1297.117,6779,180,0
2017-09-24,1291.867,1313.511,1275.27,1279.153,6777,180,0
2017-10-01,1277.757,1282.176,1260.595,1276.258,6779,150,0
2017-10-08,1276.473,1303.739,1275.247,1303.521,6779,150,0
